========================================
SRUU - EMERGENCY RESPONSE SYSTEM LOG
Session Start: 2026-04-30 11:00:18
========================================

[2026-04-30 11:00:43] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-1-EMERGENCY-1:STRUCTURAL_COLLAPSE
[2026-04-30 11:00:45] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-1-EMERGENCY-1:firetruck-1:PRIMARY
[2026-04-30 11:00:45] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-2-EMERGENCY-1:STRUCTURAL_COLLAPSE
[2026-04-30 11:00:47] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-1-EMERGENCY-1:police-1:POLICE
[2026-04-30 11:00:47] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | MISSION_ARRIVED:firetruck-1:SENSOR-1-EMERGENCY-1
[2026-04-30 11:00:47] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-2-EMERGENCY-1:firetruck-2:PRIMARY
[2026-04-30 11:00:49] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-2-EMERGENCY-1:police-3:POLICE
[2026-04-30 11:00:50] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | PERIMETER_SECURED:police-1:SENSOR-1-EMERGENCY-1
[2026-04-30 11:00:51] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | MISSION_COMPLETE:firetruck-1:SENSOR-1-EMERGENCY-1
[2026-04-30 11:00:51] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | RESOLVED:SENSOR-1-EMERGENCY-1:firetruck-1
[2026-04-30 11:00:53] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-1-EMERGENCY-2:BIOHAZARD
[2026-04-30 11:00:55] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-1-EMERGENCY-2:bcu-1:PRIMARY
[2026-04-30 11:00:55] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | MISSION_ARRIVED:firetruck-2:SENSOR-2-EMERGENCY-1
[2026-04-30 11:00:57] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | PERIMETER_SECURED:police-3:SENSOR-2-EMERGENCY-1
[2026-04-30 11:00:57] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-2-EMERGENCY-2:FIRE
[2026-04-30 11:00:59] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | MISSION_COMPLETE:firetruck-2:SENSOR-2-EMERGENCY-1
[2026-04-30 11:00:59] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | RESOLVED:SENSOR-2-EMERGENCY-1:firetruck-2
[2026-04-30 11:01:00] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-2-EMERGENCY-2:firetruck-1:PRIMARY
[2026-04-30 11:01:02] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-2-EMERGENCY-2:police-2:POLICE
[2026-04-30 11:01:02] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | MISSION_ARRIVED:bcu-1:SENSOR-1-EMERGENCY-2
[2026-04-30 11:01:03] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@172.30.96.1:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-1-EMERGENCY-3:STRUCTURAL_COLLAPSE
