========================================
SRUU - EMERGENCY RESPONSE SYSTEM LOG
Session Start: 2026-05-03 19:04:58
========================================

[2026-05-03 19:05:23] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-1-EMERGENCY-1:STRUCTURAL_COLLAPSE
[2026-05-03 19:05:30] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-2-EMERGENCY-1:STRUCTURAL_COLLAPSE
[2026-05-03 19:05:30] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-1-EMERGENCY-1:firetruck-3:PRIMARY
[2026-05-03 19:05:32] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-2-EMERGENCY-1:firetruck-1:PRIMARY
[2026-05-03 19:05:32] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-1-EMERGENCY-1:police-1:POLICE
[2026-05-03 19:05:32] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_ARRIVED:firetruck-3:SENSOR-1-EMERGENCY-1
[2026-05-03 19:05:33] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-1-EMERGENCY-2:STRUCTURAL_COLLAPSE
[2026-05-03 19:05:34] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-2-EMERGENCY-1:police-2:POLICE
[2026-05-03 19:05:34] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | PERIMETER_SECURED:police-1:SENSOR-1-EMERGENCY-1
[2026-05-03 19:05:35] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-1-EMERGENCY-2:firetruck-2:PRIMARY
[2026-05-03 19:05:36] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_COMPLETE:firetruck-3:SENSOR-1-EMERGENCY-1
[2026-05-03 19:05:36] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | RESOLVED:SENSOR-1-EMERGENCY-1:firetruck-3
[2026-05-03 19:05:37] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | PERIMETER_SECURED:police-2:SENSOR-2-EMERGENCY-1
[2026-05-03 19:05:37] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_ARRIVED:firetruck-1:SENSOR-2-EMERGENCY-1
[2026-05-03 19:05:37] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-1-EMERGENCY-2:police-3:POLICE
[2026-05-03 19:05:38] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_ARRIVED:firetruck-2:SENSOR-1-EMERGENCY-2
[2026-05-03 19:05:40] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-2-EMERGENCY-2:MEDICAL
[2026-05-03 19:05:41] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_COMPLETE:firetruck-1:SENSOR-2-EMERGENCY-1
[2026-05-03 19:05:41] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | RESOLVED:SENSOR-2-EMERGENCY-1:firetruck-1
[2026-05-03 19:05:42] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-2-EMERGENCY-2:ambulance-2:PRIMARY
[2026-05-03 19:05:42] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | PERIMETER_SECURED:police-3:SENSOR-1-EMERGENCY-2
[2026-05-03 19:05:42] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_COMPLETE:firetruck-2:SENSOR-1-EMERGENCY-2
[2026-05-03 19:05:42] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | RESOLVED:SENSOR-1-EMERGENCY-2:firetruck-2
[2026-05-03 19:05:43] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-1-EMERGENCY-3:BIOHAZARD
[2026-05-03 19:05:45] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_ARRIVED:ambulance-2:SENSOR-2-EMERGENCY-2
[2026-05-03 19:05:45] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-1-EMERGENCY-3:bcu-1:PRIMARY
[2026-05-03 19:05:49] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_COMPLETE:ambulance-2:SENSOR-2-EMERGENCY-2
[2026-05-03 19:05:49] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | RESOLVED:SENSOR-2-EMERGENCY-2:ambulance-2
[2026-05-03 19:05:51] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_ARRIVED:bcu-1:SENSOR-1-EMERGENCY-3
[2026-05-03 19:05:52] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-2-EMERGENCY-3:BIOHAZARD
[2026-05-03 19:05:53] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-1-EMERGENCY-4:FIRE
[2026-05-03 19:05:54] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-2-EMERGENCY-3:bcu-3:PRIMARY
[2026-05-03 19:05:55] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-1-EMERGENCY-4:firetruck-1:PRIMARY
[2026-05-03 19:05:57] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | ASSIGNED:SENSOR-1-EMERGENCY-4:police-2:POLICE
[2026-05-03 19:05:59] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_ARRIVED:firetruck-1:SENSOR-1-EMERGENCY-4
[2026-05-03 19:06:03] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_COMPLETE:firetruck-1:SENSOR-1-EMERGENCY-4
[2026-05-03 19:06:03] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | RESOLVED:SENSOR-1-EMERGENCY-4:firetruck-1
[2026-05-03 19:06:03] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-1-EMERGENCY-5:FIRE
[2026-05-03 19:06:03] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | MISSION_ARRIVED:bcu-3:SENSOR-2-EMERGENCY-3
[2026-05-03 19:06:04] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | DETECTED:SENSOR-2-EMERGENCY-4:FIRE
[2026-05-03 19:06:04] INFORM             | From: dispatcher      | To: ( agent-identifier :name logger@169.254.83.107:1099/JADE ) | Ontology: none                 | PERIMETER_SECURED:police-2:SENSOR-1-EMERGENCY-4
