incident_type,count,min_response_ms,avg_response_ms,max_response_ms
BIOHAZARD,6,5636,18449,32819
CRYOGENIC_LEAK,2,9370,10088,10806
FIRE,4,1847,5500,12276
MEDICAL,3,1434,4688,9366
STRUCTURAL_COLLAPSE,4,3478,6759,16019
